"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Brasil";"5507";"5391";"4420";"2686";"577";"1980";"2466";"971";"5564";"5531";"5166";"2817";"560";"3005";"3351";"365";"5570";"5548";"5237";"2770";"715";"3124";"3422";"280"
"Rondônia";"52";"39";"29";"24";"2";"8";"2";"10";"52";"48";"46";"29";"2";"20";"5";"2";"52";"51";"49";"40";"1";"8";"-";"1"
"Acre";"22";"22";"16";"3";"1";"12";"1";"6";"22";"22";"20";"15";"1";"5";"1";"2";"22";"22";"22";"19";"-";"6";"-";"-"
"Amazonas";"62";"60";"26";"-";"18";"10";"1";"34";"62";"62";"38";"7";"-";"32";"-";"24";"62";"61";"27";"10";"3";"17";"2";"33"
"Roraima";"15";"15";"15";"7";"-";"9";"1";"-";"15";"15";"14";"7";"-";"8";"2";"1";"15";"15";"15";"10";"-";"14";"-";"-"
"Pará";"143";"132";"37";"11";"5";"28";"17";"95";"143";"140";"84";"15";"9";"67";"23";"56";"144";"139";"81";"19";"22";"59";"14";"56"
"Amapá";"16";"16";"16";"8";"1";"11";"4";"-";"16";"16";"15";"4";"-";"13";"4";"1";"16";"16";"16";"10";"-";"14";"1";"-"
"Tocantins";"139";"138";"57";"22";"9";"29";"7";"81";"139";"139";"133";"27";"31";"82";"10";"6";"139";"139";"137";"15";"20";"113";"44";"2"
"Maranhão";"217";"198";"144";"24";"27";"102";"7";"54";"217";"215";"168";"58";"22";"110";"48";"47";"217";"216";"157";"42";"7";"125";"14";"57"
"Piauí";"221";"200";"136";"12";"-";"124";"6";"64";"223";"218";"165";"37";"2";"132";"11";"53";"224";"220";"176";"36";"5";"147";"13";"44"
"Ceará";"184";"183";"169";"91";"30";"91";"27";"14";"184";"184";"183";"103";"75";"150";"51";"1";"184";"184";"182";"63";"118";"140";"95";"2"
"Rio Grande do Norte";"166";"159";"146";"66";"17";"66";"3";"13";"167";"167";"163";"59";"34";"88";"9";"4";"167";"166";"149";"18";"33";"110";"2";"15"
"Paraíba";"223";"211";"179";"25";"109";"56";"3";"32";"223";"212";"195";"144";"17";"59";"8";"17";"223";"219";"181";"150";"13";"39";"3";"18"
"Pernambuco";"185";"182";"177";"123";"44";"36";"6";"5";"185";"185";"183";"118";"58";"53";"12";"2";"185";"184";"183";"80";"111";"62";"3";"1"
"Alagoas";"101";"101";"98";"55";"6";"58";"16";"3";"102";"102";"97";"47";"19";"45";"15";"5";"102";"101";"99";"42";"33";"53";"12";"1"
